FILE,PAGE,V1.3,V2.3,V3.3,V5.3,V4.3,CLASS-1,SCORE-1,CLASS-2,SCORE-2,CLASS-3,SCORE-3
MTX194500371,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.9564,DRAW,0.043,DRAW_L,0.0006000000000000001
MTX194600414,1,TEXT,TEXT,DRAW,TEXT,TEXT,TEXT,0.8196,DRAW,0.17600000000000002,PHOTO,0.003
MTX194601246,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,1.0,,,,
MTX194602237,3,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.993,TEXT,0.0048000000000000004,TEXT_T,0.0018
MTX194700001,29,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9586,TEXT_P,0.039,LINE_T,0.0021999999999999997
MTX194700785,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.9982,DRAW_L,0.0018,,
MTX194701568,2,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,1.0,,,,
MTX194800116,1,LINE_T,DRAW_L,LINE_T,LINE_T,LINE_T,LINE_T,0.8907999999999999,DRAW_L,0.10840000000000001,LINE_HW,0.0008
MTX194800797,1,LINE_T,DRAW_L,LINE_T,LINE_T,LINE_T,LINE_T,0.8009999999999999,DRAW_L,0.1988,LINE_HW,0.0004
MTX194900017,276,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX195000322,5,TEXT_T,TEXT_T,TEXT,TEXT,TEXT_T,TEXT_T,0.7468,TEXT,0.25220000000000004,TEXT_P,0.0012000000000000001
MTX195000880,5,TEXT_P,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.7964,TEXT_P,0.2008,TEXT_HW,0.0018000000000000002
MTX195001226,21,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
MTX195100035,32,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9987999999999999,TEXT,0.0008,,
MTX195100601,3,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9942,TEXT,0.0054,TEXT_P,0.0002
MTX195101054,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9996,LINE_HW,0.0004,LINE_P,0.0002
MTX195200757,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9904,LINE_HW,0.004,TEXT,0.003
MTX195300912,2,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9955999999999999,TEXT,0.0042,LINE_T,0.0002
MTX195400945,23,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,1.0,,,,
MTX195401664,282,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.9968,DRAW,0.0032,,
MTX195500767,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.9347999999999999,DRAW_L,0.064,LINE_HW,0.0012000000000000001
MTX195600086,37,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX195701080,16,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9986,TEXT_P,0.0006000000000000001,TEXT,0.0004
MTX195800294,2,TEXT,TEXT_T,TEXT,TEXT_T,TEXT,TEXT,0.5048,TEXT_T,0.49380000000000007,TEXT_P,0.0014
MTX195802237,17,LINE_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.8622,LINE_T,0.10980000000000001,TEXT_P,0.027600000000000003
MTX195901352,11,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9964000000000001,LINE_T,0.0036,,
MTX195902963,3,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9974000000000001,TEXT,0.0016,TEXT_P,0.001
MTX195904165,4,TEXT,TEXT_T,TEXT,TEXT_T,TEXT,TEXT,0.6277999999999999,TEXT_T,0.37060000000000004,DRAW,0.0014
MTX196000288,3,LINE_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.7596,LINE_T,0.2008,TEXT,0.039400000000000004
MTX196001423,2,TEXT,TEXT_T,TEXT,TEXT_T,TEXT,TEXT,0.6388,TEXT_T,0.35760000000000003,TEXT_P,0.0028
MTX196002537,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,1.0,,,,
MTX196003846,5,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9826,TEXT,0.016800000000000002,TEXT_P,0.0004
MTX196100884,51,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9969999999999999,DRAW_L,0.0012000000000000001,TEXT_T,0.001
MTX196101839,4,TEXT_P,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.8048,TEXT_P,0.1944,TEXT,0.0006000000000000001
MTX196200445,7,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9984,TEXT_P,0.0008,TEXT,0.0004
MTX196202246,124,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9997999999999999,TEXT,0.0002,,
MTX196202445,4,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
MTX196302383,4,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX196402233,119,TEXT,TEXT,TEXT,TEXT,TEXT_HW,TEXT,0.7038,TEXT_HW,0.2886,DRAW,0.0076
MTX196402692a,58,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.9996,DRAW,0.0002,PHOTO_L,0.0002
MTX196501225,21,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9984,DRAW_L,0.001,TEXT,0.0002
MTX196600014a,165,DRAW,PHOTO,TEXT,TEXT,TEXT,TEXT,0.48040000000000005,DRAW,0.2082,PHOTO,0.2064
MTX196600324,134,LINE_T,TEXT_T,TEXT_T,TEXT_T,LINE_T,TEXT_T,0.6963999999999999,LINE_T,0.3036,TEXT,0.0002
MTX196601613,6,TEXT_T,TEXT_T,TEXT_P,TEXT_P,TEXT_T,TEXT_P,0.488,TEXT_T,0.4486,LINE_P,0.055600000000000004
MTX196700249,96,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX196701428,77,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX196701845,4,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9992000000000001,TEXT_P,0.0008,,
MTX196801709,77,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.9996,DRAW,0.0004,,
MTX196801974,240,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.9922000000000001,DRAW,0.0076,,
MTX196901115,116,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9992000000000001,DRAW_L,0.0008,,
MTX196902440,38,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
MTX196902716a,9,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.984,TEXT,0.014600000000000002,TEXT_T,0.001
MTX196902799a,152,TEXT_HW,TEXT_HW,TEXT_HW,DRAW,TEXT_HW,TEXT_HW,0.7898,DRAW,0.20939999999999998,TEXT,0.0006000000000000001
MTX196902801,115,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9955999999999999,LINE_T,0.0036000000000000003,TEXT,0.001
MTX197000049,55,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX197001271,8,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9725999999999999,TEXT,0.0268,LINE_T,0.0002
MTX197003041,56,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
MTX197101517,216,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.999,PHOTO,0.0004,TEXT,0.0004
MTX197102112,2,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9997999999999999,,,,
MTX197102281,26,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9826,TEXT,0.0164,TEXT_P,0.0008
MTX197200145,15,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9994,TEXT,0.0004,,
MTX197200475,225,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9698,TEXT,0.017,TEXT_P,0.0132
MTX197201066,98,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9738,TEXT_P,0.026000000000000002,TEXT,0.0002
MTX197201928,154,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX197202075,118,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9968,TEXT,0.003,,
MTX197202075b,253,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX197300386,73,TEXT_T,TEXT_P,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.8785999999999999,TEXT_P,0.12079999999999999,TEXT,0.0004
MTX197301727,159,DRAW,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.7996000000000001,DRAW,0.2004,,
MTX197302469a,87,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX197302638,15,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9960000000000001,TEXT_P,0.0038,TEXT,0.0002
MTX197400069,824,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX197401698,5,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT,TEXT_T,0.8826,TEXT,0.1136,TEXT_P,0.0038000000000000004
MTX197402691,62,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
MTX197500360,16,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9994,TEXT_P,0.0004,TEXT,0.0002
MTX197500983b,98,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX197501771,37,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9841999999999999,TEXT,0.0156,TEXT_P,0.0004
MTX197600855,6,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.8994,TEXT_P,0.0998,TEXT,0.0002
MTX197601190,132,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT,TEXT_T,0.8078,TEXT,0.19219999999999998,,
MTX197602348,119,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX197700297,60,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX197700748a,229,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX197701348,47,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX197701981,107,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX197702102,26,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9743999999999999,TEXT,0.0218,TEXT_P,0.0036
MTX197800804b,72,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX197801815,83,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9974000000000001,TEXT,0.0024000000000000002,LINE_T,0.0002
MTX197801896,136,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9974000000000001,TEXT_P,0.0021999999999999997,TEXT,0.0002
MTX197900097,5,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
MTX197900647,213,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX197901806,20,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9433999999999999,PHOTO_L,0.053000000000000005,PHOTO,0.0026
MTX197902085,149,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
MTX198000272,163,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.999,DRAW_L,0.0008,,
MTX198000786,35,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX198001740,12,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9997999999999999,,,,
MTX198001789,323,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9998000000000001,DRAW_L,0.0002,,
MTX198101135,57,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9991999999999999,TEXT,0.0004,TEXT_P,0.0004
MTX198101596,717,TEXT_T,LINE_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.8652,LINE_T,0.13279999999999997,LINE_P,0.0021999999999999997
MTX198200329,58,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9978,TEXT_P,0.0016,TEXT,0.0002
MTX198201177,2,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.7944,TEXT_T,0.20220000000000002,DRAW,0.002
MTX198300325,29,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9996,TEXT_T,0.0002,,
MTX198300465,160,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX198301333,30,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.905,TEXT_T,0.09,TEXT,0.0036
MTX198400065,23,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9975999999999999,TEXT,0.0018000000000000002,LINE_T,0.0008
MTX198401242,340,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.999,DRAW,0.0008,,
MTX198401561,384,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX198500607,168,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.9969999999999999,TEXT,0.0024000000000000002,PHOTO_L,0.0006000000000000001
MTX198501579a,118,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.999,DRAW_L,0.0006000000000000001,TEXT_T,0.0006000000000000001
MTX198501580,494,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,0.959,DRAW,0.0248,LINE_HW,0.0164
MTX198501581b,334,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,DRAW,TEXT_HW,0.8725999999999999,DRAW,0.11000000000000001,LINE_HW,0.017
MTX198501597,1,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9996,DRAW_L,0.0004,,
MTX198501973,43,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9994,TEXT,0.0006000000000000001,,
MTX198600126,442,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9996,TEXT,0.0002,TEXT_P,0.0002
MTX198600459,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9992000000000001,LINE_HW,0.0008,,
MTX198700167,91,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9994,PHOTO,0.0004,TEXT_T,0.0002
MTX198700938a,156,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX198701429,7,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9998000000000001,,,,
MTX198701536b,36,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.999,DRAW,0.0008,TEXT_P,0.0002
MTX198800374,21,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9960000000000001,TEXT_P,0.0034000000000000002,TEXT,0.0006000000000000001
MTX198800750,298,DRAW,DRAW,PHOTO,DRAW,DRAW,DRAW,0.8688,PHOTO,0.1306,DRAW_L,0.0006000000000000001
MTX198801706,316,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX198901150,11,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.899,TEXT,0.101,,
MTX198901466,2,TEXT,TEXT,TEXT_T,TEXT,TEXT,TEXT,0.7928,TEXT_T,0.20659999999999998,TEXT_P,0.0004
MTX199000167,3,LINE_T,LINE_P,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.5492,LINE_T,0.3224,LINE_P,0.12840000000000001
MTX199000421,18,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX199000929,58,LINE_T,LINE_T,TEXT_T,TEXT_T,LINE_T,LINE_T,0.6912,TEXT_T,0.3056,LINE_P,0.0034000000000000002
MTX199001504b,85,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9982,PHOTO,0.0014,TEXT_T,0.0004
MTX199001699,5,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
MTX199100182,57,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9865999999999999,TEXT,0.012,LINE_T,0.0012000000000000001
MTX199100250b,61,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9987999999999999,PHOTO_L,0.001,LINE_T,0.0002
MTX199100456,207,DRAW,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.8198000000000001,DRAW,0.1802,,
MTX199100877b,6,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.9994,DRAW,0.0004,,
MTX199100993,72,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.983,TEXT,0.017,,
MTX199101374,144,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX199200083,12,TEXT_T,TEXT_T,TEXT_T,TEXT_P,TEXT_P,TEXT_T,0.6352,TEXT_P,0.3422,TEXT_HW,0.019
MTX199200453a,59,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9948,TEXT,0.003,TEXT_P,0.0024000000000000002
MTX199201156,39,LINE_P,LINE_P,LINE_T,LINE_T,LINE_T,LINE_T,0.5398,LINE_P,0.418,LINE_HW,0.041800000000000004
MTX199201450,278,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX199300031,20,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.977,TEXT_T,0.023,,
MTX199300609,90,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
MTX199400046,149,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX199400464,64,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX199400508,23,TEXT_T,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,0.869,TEXT_T,0.1296,TEXT,0.0012000000000000001
MTX199400522a,593,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX199400534,30,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,0.9656,LINE_T,0.030000000000000006,LINE_HW,0.0038000000000000004
MTX199500407,78,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9997999999999999,DRAW_L,0.0002,,
MTX199500956,3,LINE_HW,LINE_HW,LINE_T,LINE_T,LINE_HW,LINE_HW,0.49779999999999996,LINE_T,0.49379999999999996,LINE_P,0.0082
MTX199600832,4,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX199700250,137,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,0.9414,DRAW,0.054200000000000005,TEXT_P,0.0044
MTX199700453a,183,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
